Year,week_number,Total_Flights
2013,28,1288
2013,29,1267
2013,30,1375
2013,31,1295
2013,32,1390
2013,33,1260
2013,34,1348
2013,35,1200
2013,36,1240
2013,37,1241
2013,38,1260
2013,39,1216
2013,40,1231
2013,41,1180
2013,42,1243
2013,43,1248
2013,44,1223
2013,45,1258
2013,46,1209
2013,47,1210
2013,48,1205
2013,49,1166
2013,50,1159
2013,51,1158
2013,52,1223
2014,1,1188
2014,2,1013
2014,3,1100
2014,4,973
2014,5,1015
2014,6,1005
2014,7,966
2014,8,1069
2014,9,1092
2014,10,1122
2014,11,1179
2014,12,1149
2014,13,1165
2014,14,1168
2014,15,1126
2014,16,1144
2014,17,1146
2014,18,1102
2014,19,1109
2014,20,1161
2014,21,1114
2014,22,1176
2014,23,1084
2014,24,1184
2014,25,1190
2014,26,1121
2014,27,1063
2014,28,1191
2014,29,1220
2014,30,1252
2014,31,1198
2014,32,1179
2014,33,1221
2014,34,1123
2014,35,1058
2014,36,1130
2014,37,1088
2014,38,1087
2014,39,1130
2014,40,1090
2014,41,1121
2014,42,1110
2014,43,1197
2014,44,1067
2014,45,1116
2014,46,1138
2014,47,1159
2014,48,1096
2014,49,1044
2014,50,1081
2014,51,1124
2014,52,1057
2015,1,614
2015,2,1069
2015,3,1014
2015,4,1103
2015,5,972
2015,6,1105
2015,7,1082
2015,8,1122
2015,9,985
2015,10,1087
2015,11,1144
2015,12,1175
2015,13,1101
2015,14,1193
2015,15,1160
2015,16,1120
2015,17,1126
2015,18,1161
2015,19,1135
2015,20,1151
2015,21,1185
2015,22,1147
2015,23,1170
2015,24,1120
2015,25,1194
2015,26,1215
2015,27,1137
2015,28,1208
2015,29,1197
2015,30,1169
2015,31,1213
2015,32,1142
2015,33,1165
2015,34,1107
2015,35,1140
2015,36,1064
2015,37,1127
2015,38,1136
2015,39,1098
2015,40,1120
2015,41,1123
2015,42,1150
2015,43,1154
2015,44,1092
2015,45,1109
2015,46,1153
2015,47,1131
2015,48,1130
2015,49,1110
2015,50,1123
2015,51,1119
2015,52,1111
2015,53,634
2016,1,1024
2016,2,1010
2016,3,954
2016,4,991
2016,5,1058
2016,6,1040
2016,7,1003
2016,8,1072
2016,9,1072
2016,10,1054
2016,11,1086
2016,12,1102
2016,13,1127
2016,14,1151
2016,15,1133
2016,16,1085
2016,17,1092
2016,18,1106
2016,19,1146
2016,20,1061
2016,21,1074
2016,22,1058
2016,23,1119
2016,24,1178
2016,25,1192
2016,26,1083
2016,27,1086
2016,28,1167
2016,29,1150
2016,30,1104
2016,31,1116
2016,32,1117
2016,33,1099
2016,34,1158
2016,35,1130
2016,36,1056
2016,37,1128
2016,38,1131
2016,39,1128
2016,40,1099
2016,41,1075
2016,42,1084
2016,43,1100
2016,44,1021
2016,45,1058
2016,46,1090
2016,47,1104
2016,48,1141
2016,49,988
2016,50,1036
2016,51,1074
2016,52,937
2016,53,438
2017,1,1024
2017,2,1013
2017,3,1024
2017,4,1092
2017,5,1031
2017,6,1044
2017,7,1012
2017,8,1098
2017,9,1063
2017,10,1112
2017,11,1168
2017,12,1153
2017,13,1148
2017,14,1082
2017,15,1117
2017,16,1139
2017,17,1113
2017,18,1108
2017,19,1100
2017,20,1128
2017,21,1059
2017,22,1049
2017,23,1127
2017,24,1152
2017,25,1156
2017,26,1190
2017,27,1141
2017,28,1233
2017,29,1135
2017,30,1153
2017,31,1147
2017,32,1232
2017,33,1175
2017,34,1097
2017,35,1058
2017,36,1035
2017,37,1047
2017,38,1089
2017,39,1102
2017,40,1115
2017,41,1102
2017,42,1151
2017,43,1081
