Origin,start_lat,start_lon,Dest,end_lat,end_lon,Total
BIL,45.80770111,-108.5429993,MSO,46.91630173,-114.0910034,170
BIL,45.80770111,-108.5429993,MSP,44.882,-93.221802,259
BIL,45.80770111,-108.5429993,SLC,40.78839874,-111.9779968,269
BIS,46.77270126,-100.7460022,CPR,42.908001,-106.463997,178
BIS,46.77270126,-100.7460022,DEN,39.86169815,-104.6729965,272
BIS,46.77270126,-100.7460022,FAR,46.92070007,-96.81580353,89
BIS,46.77270126,-100.7460022,MOT,48.25939941,-101.2799988,265
BIS,46.77270126,-100.7460022,MSP,44.882,-93.221802,334
BLI,48.7928009,-122.538002,SEA,47.449001,-122.308998,252
BNA,36.12450027,-86.67819977,ATL,33.6367,-84.428101,1275
BNA,36.12450027,-86.67819977,BHM,33.56290054,-86.75350189,731
BNA,36.12450027,-86.67819977,BOS,42.36429977,-71.00520325,266
BNA,36.12450027,-86.67819977,BTR,30.533199,-91.149597,261
BNA,36.12450027,-86.67819977,BWI,39.1754,-76.668297,352
BNA,36.12450027,-86.67819977,CHA,35.03530121,-85.20379639,260
BNA,36.12450027,-86.67819977,CLE,41.4117012,-81.84980011,265
BNA,36.12450027,-86.67819977,CLT,35.2140007,-80.94309998,361
BNA,36.12450027,-86.67819977,CVG,39.04880142,-84.6678009,271
BNA,36.12450027,-86.67819977,DCA,38.8521,-77.037697,267
BNA,36.12450027,-86.67819977,DFW,32.896801,-97.038002,808
BNA,36.12450027,-86.67819977,DTW,42.21239853,-83.35340118,588
BNA,36.12450027,-86.67819977,EWR,40.69250107,-74.16870117,266
BNA,36.12450027,-86.67819977,GSO,36.09780121,-79.93730164,170
BNA,36.12450027,-86.67819977,HOU,29.64539909,-95.27890015,391
BNA,36.12450027,-86.67819977,HSV,34.6371994,-86.77510071,266
BNA,36.12450027,-86.67819977,IAH,29.9843998,-95.34140015,347
BNA,36.12450027,-86.67819977,JAN,32.31119919,-90.07589722,268
BNA,36.12450027,-86.67819977,LAX,33.94250107,-118.4079971,86
